城市,2010得分,2011得分,2012得分,2013得分,2014得分,2015得分,2016得分,2017得分,2018得分,2019得分
嘉峪关市,72.603,73.322,74.377,73.371,72.366,71.36,70.734,70.108,69.877,69.647
洛阳市,63.087,68.575,68.611,68.495,68.378,68.262,68.026,67.791,69.865,71.94
鄂州市,63.998,70.083,70.927,69.898,68.869,67.84,68.014,68.188,69.845,71.502
茂名市,62.018,69.181,70.605,70.304,70.002,69.701,69.309,68.917,69.831,70.745
马鞍山市,65.039,72.549,73.797,72.614,71.43,70.247,68.779,67.312,69.829,72.347
桂林市,66.445,73.497,75.663,73.753,71.842,69.932,68.843,67.753,69.827,71.901
铜陵市,69.284,76.026,74.316,72.986,71.655,70.325,68.833,67.341,69.805,72.27
咸宁市,65.082,72.38,72.001,70.659,69.317,67.975,68.094,68.213,69.749,71.285
枣庄市,65.473,69.82,69.79,69.442,69.095,68.747,67.921,67.094,69.745,72.397
襄阳市,64.197,70.577,69.794,69.413,69.031,68.65,68.077,67.504,69.732,71.959
许昌市,65.481,68.668,67.723,67.486,67.248,67.011,67.176,67.341,69.642,71.944
滨州市,63.9,70.666,71.367,70.596,69.826,69.055,69.191,69.327,69.614,69.901
新乡市,65.949,69.598,67.935,67.57,67.206,66.841,67.024,67.207,69.567,71.928
东营市,68.241,73.189,73.379,72.334,71.288,70.243,68.518,66.794,69.517,72.24
漳州市,64.793,71.048,69.09,68.824,68.558,68.292,67.662,67.032,69.445,71.857
巴彦淖尔市,70.978,74.079,72.764,71.496,70.229,68.961,69.119,69.277,69.392,69.508
南平市,67.768,76.995,75.986,74.134,72.282,70.43,68.912,67.395,69.359,71.324
克拉玛依市,,72.389,70.278,69.135,67.993,66.85,67.119,67.388,69.279,71.169
黄山市,66.496,73.222,73.763,73.103,72.443,71.783,70.775,69.768,69.255,68.742
盐城市,67.57,73.382,73.348,71.552,69.757,67.961,67.939,67.916,69.237,70.558
淮安市,66.037,73.662,73.383,72.306,71.228,70.151,68.667,67.183,69.233,71.282
南阳市,65.981,68.796,68.858,68.255,67.652,67.049,67.164,67.279,69.174,71.069
宁德市,65.728,72.695,73.783,72.403,71.022,69.642,69.478,69.315,69.162,69.009
攀枝花市,64.737,71.173,71.884,71.564,71.244,70.924,69.859,68.795,69.12,69.445
平顶山市,64.505,69.827,69.862,69.431,69.001,68.57,68.87,69.17,69.101,69.031
湛江市,64.919,69.59,69.259,68.791,68.322,67.854,67.9,67.947,69.067,70.187
潮州市,,69.186,69.715,67.847,65.979,64.111,65.355,66.598,69.063,71.527
张家口市,67.752,75.488,74.701,73.768,72.835,71.902,70.721,69.539,69.041,68.542
九江市,65.64,70.114,67.405,67.331,67.256,67.182,67.338,67.494,69.035,70.577
吴忠市,71.099,74.012,73.546,72.307,71.069,69.83,70.08,70.33,68.986,67.642
玉林市,65.536,70.655,69.88,68.884,67.887,66.891,66.914,66.937,68.953,70.968
濮阳市,64.93,71.013,68.57,68.47,68.369,68.269,68.524,68.778,68.856,68.933
沧州市,68.205,74.302,72.415,71.11,69.804,68.499,68.496,68.493,68.691,68.89
商丘市,66.076,70.395,67.862,67.409,66.956,66.503,66.689,66.875,68.653,70.431
